Event No,Event,Gender,Age Group,Mode
1,1500 mt. Free Style,Men,Senior,Time Trial
2,1500 mt. Free Style,Women,Senior,Time Trial
3,1500 mt. Free Style,Boys,I,Time Trial
4,1500 mt. Free Style,Girls,I,Time Trial
5,1500 mt. Free Style,Boys,II,Time Trial
6,1500 mt. FreeStyle,Girls,II,Time Trial
7,200 mt. Back Stroke,Boys,I,Time Trial
8,200 mt. Back Stroke,Girls,I,Time Trial
9,200 mt. Back Stroke,Boys,II,Time Trial
10,200 mt. Back Stroke,Girls,II,Time Trial
11,200 mt. Back Stroke,Men,Senior,Time Trial
12,200 mt. Back Stroke,Women,Senior,Time Trial
13,200 mt. I.M.,Boys,I,Time Trial
14,200 mt. I.M.,Girls,I,Time Trial
15,200 mt. I.M.,Boys,II,Time Trial
16,200 mt. I.M.,Girls,II,Time Trial
17,200 mt. I.M.,Boys,III,Time Trial
18,200 mt. I.M.,Girls,III,Time Trial
19,200 mt. I.M.,Boys,IV,Time Trial
20,200 mt. I.M.,Girls,IV,Time Trial
21,200 mt. I.M.,Men,Senior,Time Trial
22,200 mt. I.M.,Women,Senior,Time Trial
23,200 mt. Butterfly Stroke,Boys,I,Time Trial
24,200 mt. Butterfly Stroke,Girls,I,Time Trial
25,200 mt. Butterfly Stroke,Boys,II,Time Trial
26,200 mt. Butterfly Stroke,Girls,II,Time Trial
27,200 mt. Butterfly Stroke,Men,Senior,Time Trial
28,200 mt. Butterfly Stroke,Women,Senior,Time Trial
29,400 mt. Free Style,Boys,I,Time Trial
30,400 mt. Free Style,Girls,I,Time Trial
31,400 mt. Free Style,Boys,II,Time Trial
32,400 mt. Free Style,Girls,II,Time Trial
33,400 mt. Free Style,Boys,III,Time Trial
34,400 mt. Free Style,Girls,III,Time Trial
35,400 mt. Free Style,Men,Senior,Time Trial
36,400 mt. Free Style,Women,Senior,Time Trial
37,200 mt. Breast Stroke,Boys,I,Time Trial
38,200 mt. Breast Stroke,Girls,I,Time Trial
39,200 mt. Breast Stroke,Boys,II,Time Trial
40,200 mt. Breast Stroke,Girls,II,Time Trial
41,200 mt. Breast Stroke,Men,Senior,Time Trial
42,200 mt. Breast Stroke,Women,Senior,Time Trial
43,100 mt. Free Style,Boys,I,Time Trial
44,100 mt. Free Style,Girls,I,Time Trial
45,100 mt. Free Style,Boys,II,Time Trial
46,100 mt. Free Style,Girls,II,Time Trial
47,100 mt. Free Style,Boys,III,Time Trial
48,100 mt. Free Style,Girls,III,Time Trial
49,100 mt. Free Style,Boys,IV,Time Trial
50,100 mt. Free Style,Girls,IV,Time Trial
51,100 mt. Free Style,Men,Senior,Time Trial
52,100 mt. Free Style,Women,Senior,Time Trial
53,50 mt. Back Stroke,Girls,I,Time Trial
54,50 mt. Back Stroke,Boys,I,Time Trial
55,50 mt. Back Stroke,Boys,II,Time Trial
56,50 mt. Back Stroke,Girls,II,Time Trial
57,50 mt. Back Stroke,Boys,III,Time Trial
58,50 mt. Back Stroke,Girls,III,Time Trial
59,50 mt. Back Stroke,Boys,IV,Time Trial
60,50 mt. Back Stroke,Girls,IV,Time Trial
61,50 mt. Back Stroke,Women,Senior,Time Trial
62,50 mt. Back Stroke,Men,Senior,Time Trial
63,50 mt. Breast Stroke,Boys,I,Time Trial
64,50 mt. Breast Stroke,Girls,I,Time Trial
65,50 mt. Breast Stroke,Boys,II,Time Trial
66,50 mt. Breast Stroke,Girls,II,Time Trial
67,50 mt. Breast Stroke,Boys,III,Time Trial
68,50 mt. Breast Stroke,Girls,III,Time Trial
69,50 mt. Breast Stroke,Boys,IV,Time Trial
70,50 mt. Breast Stroke,Girls,IV,Time Trial
71,50 mt. Breast Stroke,Men,Senior,Time Trial
72,50 mt. Breast Stroke,Women,Senior,Time Trial
73,800 mt. Free Style,Men,Senior,Time Trial
74,800 mt. Free Style,Women,Senior,Time Trial
75,800 mt. Free Style,Boys,I,Time Trial
76,800 mt. Free Style,Girls,I,Time Trial
77,800 mt. Free Style,Boys,II,Time Trial
78,800 mt. Free Style,Girls,II,Time Trial
79,100 mt. Butterfly Stroke,Boys,I,Time Trial
80,100 mt. Butterfly Stroke,Girls,I,Time Trial
81,100 mt. Butterfly Stroke,Boys,II,Time Trial
82,100 mt. Butterfly Stroke,Girls,II,Time Trial
83,100 mt. Butterfly Stroke,Boys,III,Time Trial
84,100 mt. Butterfly Stroke,Girls,III,Time Trial
85,100 mt. Butterfly Stroke,Men,Senior,Time Trial
86,100 mt. Butterfly Stroke,Women,Senior,Time Trial
87,50 mt. Free Style,Girls,I,Time Trial
88,50 mt. Free Style,Boys,I,Time Trial
89,50 mt. Free Style,Girls,II,Time Trial
90,50 mt. Free Style,Boys,II,Time Trial
91,50 mt. Free Style,Boys,III,Time Trial
92,50 mt. Free Style,Girls,III,Time Trial
93,50 mt. Free Style,Boys,IV,Time Trial
94,50 mt. Free Style,Girls,IV,Time Trial
95,50 mt. Free Style,Women,Senior,Time Trial
96,50 mt. Free Style,Men,Senior,Time Trial
97,100 mt. Breast Stroke,Boys,I,Time Trial
98,100 mt. Breast Stroke,Girls,I,Time Trial
99,100 mt. Breast Stroke,Boys,II,Time Trial
100,100 mt. Breast Stroke,Girls,II,Time Trial
101,100 mt. Breast Stroke,Boys,III,Time Trial
102,100 mt. Breast Stroke,Girls,III,Time Trial
103,100 mt. Breast Stroke,Men,Senior,Time Trial
104,100 mt. Breast Stroke,Women,Senior,Time Trial
105,400 mt. I.M.,Boys,I,Time Trial
106,400 mt. I.M.,Girls,I,Time Trial
107,400 mt. I.M.,Boys,II,Time Trial
108,400 mt. I.M.,Girls,II,Time Trial
