S.N.,Event Name,Category,Group
1,1500 mt. Free Style,Men,Senior
2,1500 mt. Free Style,Women,Senior
3,1500 mt. Free Style,Boys,I
4,1500 mt. Free Style,Girls,I
5,1500 mt. Free Style,Boys,II
6,1500 mt. FreeStyle,Girls,II
7,200 mt. Back Stroke,Boys,I
8,200 mt. Back Stroke,Girls,I
9,200 mt. Back Stroke,Boys,II
10,200 mt. Back Stroke,Girls,II
11,200 mt. Back Stroke,Men,Senior
12,200 mt. Back Stroke,Women,Senior
13,200 mt. I.M.,Boys,I
14,200 mt. I.M.,Girls,I
15,200 mt. I.M.,Boys,II
16,200 mt. I.M.,Girls,II
17,200 mt. I.M.,Boys,III
18,200 mt. I.M.,Girls,III
19,200 mt. I.M.,Boys,IV
20,200 mt. I.M.,Girls,IV
21,200 mt. I.M.,Men,Senior
22,200 mt. I.M.,Women,Senior
23,200 mt. Butterfly Stroke,Boys,I
24,200 mt. Butterfly Stroke,Girls,I
25,200 mt. Butterfly Stroke,Boys,II
26,200 mt. Butterfly Stroke,Girls,II
27,200 mt. Butterfly Stroke,Men,Senior
28,200 mt. Butterfly Stroke,Women,Senior
29,400 mt. Free Style,Boys,I
30,400 mt. Free Style,Girls,I
31,400 mt. Free Style,Boys,II
32,400 mt. Free Style,Girls,II
33,400 mt. Free Style,Boys,III
34,400 mt. Free Style,Girls,III
35,400 mt. Free Style,Men,Senior
36,400 mt. Free Style,Women,Senior
37,200 mt. Breast Stroke,Boys,I
38,200 mt. Breast Stroke,Girls,I
39,200 mt. Breast Stroke,Boys,II
40,200 mt. Breast Stroke,Girls,II
41,200 mt. Breast Stroke,Men,Senior
42,200 mt. Breast Stroke,Women,Senior
43,100 mt. Free Style,Boys,I
44,100 mt. Free Style,Girls,I
45,100 mt. Free Style,Boys,II
46,100 mt. Free Style,Girls,II
47,100 mt. Free Style,Boys,III
48,100 mt. Free Style,Girls,III
49,100 mt. Free Style,Boys,IV
50,100 mt. Free Style,Girls,IV
51,100 mt. Free Style,Men,Senior
52,100 mt. Free Style,Women,Senior
53,50 mt. Back Stroke,Girls,I
54,50 mt. Back Stroke,Boys,I
55,50 mt. Back Stroke,Boys,II
56,50 mt. Back Stroke,Girls,II
57,50 mt. Back Stroke,Boys,III
58,50 mt. Back Stroke,Girls,III
59,50 mt. Back Stroke,Boys,IV
60,50 mt. Back Stroke,Girls,IV
61,50 mt. Back Stroke,Women,Senior
62,50 mt. Back Stroke,Men,Senior
63,50 mt. Breast Stroke,Boys,I
64,50 mt. Breast Stroke,Girls,I
65,50 mt. Breast Stroke,Boys,II
66,50 mt. Breast Stroke,Girls,II
67,50 mt. Breast Stroke,Boys,III
68,50 mt. Breast Stroke,Girls,III
69,50 mt. Breast Stroke,Boys,IV
70,50 mt. Breast Stroke,Girls,IV
71,50 mt. Breast Stroke,Men,Senior
72,50 mt. Breast Stroke,Women,Senior
73,800 mt. Free Style,Men,Senior
74,800 mt. Free Style,Women,Senior
75,800 mt. Free Style,Boys,I
76,800 mt. Free Style,Girls,I
77,800 mt. Free Style,Boys,II
78,800 mt. Free Style,Girls,II
79,100 mt. Butterfly Stroke,Boys,I
80,100 mt. Butterfly Stroke,Girls,I
81,100 mt. Butterfly Stroke,Boys,II
82,100 mt. Butterfly Stroke,Girls,II
83,100 mt. Butterfly Stroke,Boys,III
84,100 mt. Butterfly Stroke,Girls,III
85,100 mt. Butterfly Stroke,Men,Senior
86,100 mt. Butterfly Stroke,Women,Senior
87,50 mt. Free Style,Girls,I
88,50 mt. Free Style,Boys,I
89,50 mt. Free Style,Girls,II
90,50 mt. Free Style,Boys,II
91,50 mt. Free Style,Boys,III
92,50 mt. Free Style,Girls,III
93,50 mt. Free Style,Boys,IV
94,50 mt. Free Style,Girls,IV
95,50 mt. Free Style,Women,Senior
96,50 mt. Free Style,Men,Senior
97,100 mt. Breast Stroke,Boys,I
98,100 mt. Breast Stroke,Girls,I
99,100 mt. Breast Stroke,Boys,II
100,100 mt. Breast Stroke,Girls,II
101,100 mt. Breast Stroke,Boys,III
102,100 mt. Breast Stroke,Girls,III
103,100 mt. Breast Stroke,Men,Senior
104,100 mt. Breast Stroke,Women,Senior
105,400 mt. I.M.,Boys,I
106,400 mt. I.M.,Girls,I
107,400 mt. I.M.,Boys,II
108,400 mt. I.M.,Girls,II
109,400 mt. I.M.,Men,Senior
110,400 mt. I.M.,Women,Senior
111,100 mt. Back Stroke,Boys,I
112,100 mt. Back Stroke,Girls,I
113,100 mt. Back Stroke,Boys,II
114,100 mt. Back Stroke,Girls,II
115,100 mt. Back Stroke,Boys,III
116,100 mt. Back Stroke,Girls,III
117,100 mt. Back Stroke,Men,Senior
118,100 mt. Back Stroke,Women,Senior
119,200 mt. Free Style,Boys,I
120,200 mt. Free Style,Girls,I
121,200 mt. Free Style,Boys,II
122,200 mt. Free Style,Girls,II
123,200 mt. Free Style,Boys,III
124,200 mt. Free Style,Girls,III
125,200 mt. Free Style,Men,Senior
126,200 mt. Free Style,Women,Senior
127,50 mt. Butterfly Stroke,Girls,I
128,50 mt. Butterfly Stroke,Boys,I
129,50 mt. Butterfly Stroke,Girls,II
130,50 mt. Butterfly Stroke,Boys,II
131,50 mt. Butterfly Stroke,Boys,III
132,50 mt. Butterfly Stroke,Girls,III
133,50 mt. Butterfly Stroke,Boys,IV
134,50 mt. Butterfly Stroke,Girls,IV
135,50 mt. Butterfly Stroke,Women,Senior
136,50 mt. Butterfly Stroke,Men,Senior
