Event No,Event,Gender,Age Group,Mode
1,800 mt. Free Style,Boys,U - 17,Time Trial
2,800 mt. Free Style,Girls,U - 19,Time Trial
3,1500 mt. Free Style,Boys,U - 19,Time Trial
4,200 mt. I.M.,Boys,U - 14,Time Trial
5,200 mt. I.M.,Girls,U - 14,Time Trial
6,200 mt. I.M.,Boys,U - 17,Time Trial
7,200 mt. I.M.,Girls,U - 17,Time Trial
8,200 mt. I.M.,Boys,U - 19,Time Trial
9,200 mt. I.M.,Girls,U - 19,Time Trial
10,200 mt. Free Style,Boys,U - 19,Time Trial
11,200 mt. Free Style,Girls,U - 19,Time Trial
12,200 mt. Free Style,Boys,U - 14,Time Trial
13,200 mt. Free Style,Girls,U - 14,Time Trial
14,200 mt. Free Style,Boys,U - 17,Time Trial
15,200 mt. Free Style,Girls,U - 17,Time Trial
16,100 mt. Back Stroke,Boys,U - 14,Time Trial
17,100 mt. Back Stroke,Girls,U - 14,Time Trial
18,100 mt. Back Stroke,Boys,U - 17,Time Trial
19,100 mt. Back Stroke,Girls,U - 17,Time Trial
20,100 mt. Back Stroke,Boys,U - 19,Time Trial
21,100 mt. Back Stroke,Girls,U - 19,Time Trial
22,50 mt. Free Style,Boys,U - 14,Time Trial
23,50 mt. Free Style,Girls,U - 14,Time Trial
24,50 mt. Free Style,Boys,U - 17,Time Trial
25,50 mt. Free Style,Girls,U - 17,Time Trial
26,50 mt. Free Style,Boys,U - 19,Time Trial
27,50 mt. Free Style,Girls,U - 19,Time Trial
28,200 mt. Breast Stroke,Boys,U - 17,Time Trial
29,200 mt. Breast Stroke,Girls,U - 17,Time Trial
30,200 mt. Breast Stroke,Boys,U - 19,Time Trial
31,200 mt. Breast Stroke,Girls,U - 19,Time Trial
32,200 mt. Breast Stroke,Boys,U - 14,Time Trial
33,200 mt. Breast Stroke,Girls,U - 14,Time Trial
34,400 mt. Free Style,Boys,U - 14,Time Trial
35,400 mt. Free Style,Girls,U - 14,Time Trial
36,400 mt. Free Style,Boys,U - 17,Time Trial
37,400 mt. Free Style,Girls,U - 17,Time Trial
38,400 mt. Free Style,Boys,U - 19,Time Trial
39,400 mt. Free Style,Girls,U - 19,Time Trial
40,50 mt. Butterfly Stroke,Boys,U - 14,Time Trial
41,50 mt. Butterfly Stroke,Girls,U - 14,Time Trial
42,50 mt. Butterfly Stroke,Boys,U - 17,Time Trial
43,50 mt. Butterfly Stroke,Girls,U - 17,Time Trial
44,50 mt. Butterfly Stroke,Boys,U - 19,Time Trial
45,50 mt. Butterfly Stroke,Girls,U - 19,Time Trial
46,400 mt. I.M.,Boys,U - 17,Time Trial
47,400 mt. I.M.,Girls,U - 17,Time Trial
48,400 mt. I.M.,Boys,U - 19,Time Trial
49,400 mt. I.M.,Girls,U - 19,Time Trial
50,200 mt. Back Stroke,Boys,U - 17,Time Trial
51,200 mt. Back Stroke,Girls,U - 17,Time Trial
52,200 mt. Back Stroke,Boys,U - 19,Time Trial
53,200 mt. Back Stroke,Girls,U - 19,Time Trial
54,200 mt. Back Stroke,Boys,U - 14,Time Trial
55,200 mt. Back Stroke,Girls,U - 14,Time Trial
56,100 mt. Butterfly Stroke,Boys,U - 17,Time Trial
57,100 mt. Butterfly Stroke,Girls,U - 17,Time Trial
58,100 mt. Butterfly Stroke,Boys,U - 14,Time Trial
59,100 mt. Butterfly Stroke,Girls,U - 14,Time Trial
60,100 mt. Butterfly Stroke,Boys,U - 19,Time Trial
61,100 mt. Butterfly Stroke,Girls,U - 19,Time Trial
62,100 mt. Free Style,Boys,U - 14,Time Trial
63,100 mt. Free Style,Girls,U - 14,Time Trial
64,100 mt. Free Style,Boys,U - 17,Time Trial
65,100 mt. Free Style,Girls,U - 17,Time Trial
66,100 mt. Free Style,Boys,U - 19,Time Trial
67,100 mt. Free Style,Girls,U - 19,Time Trial
68,100 mt. Breast Stroke,Boys,U - 14,Time Trial
69,100 mt. Breast Stroke,Girls,U - 14,Time Trial
70,100 mt. Breast Stroke,Boys,U - 17,Time Trial
71,100 mt. Breast Stroke,Girls,U - 17,Time Trial
72,100 mt. Breast Stroke,Boys,U - 19,Time Trial
73,100 mt. Breast Stroke,Girls,U - 19,Time Trial
74,200 mt. Butterfly Stroke,Boys,U - 14,Time Trial
75,200 mt. Butterfly Stroke,Girls,U - 14,Time Trial
76,200 mt. Butterfly Stroke,Boys,U - 17,Time Trial
77,200 mt. Butterfly Stroke,Girls,U - 17,Time Trial
78,200 mt. Butterfly Stroke,Boys,U - 19,Time Trial
79,200 mt. Butterfly Stroke,Girls,U - 19,Time Trial
80,50 mt. Back Stroke,Boys,U - 14,Time Trial
81,50 mt. Back Stroke,Girls,U - 14,Time Trial
82,50 mt. Back Stroke,Boys,U - 17,Time Trial
83,50 mt. Back Stroke,Girls,U - 17,Time Trial
84,50 mt. Back Stroke,Boys,U - 19,Time Trial
85,50 mt. Back Stroke,Girls,U - 19,Time Trial
86,50 mt. Breast Stroke,Boys,U - 14,Time Trial
87,50 mt. Breast Stroke,Girls,U - 14,Time Trial
88,50 mt. Breast Stroke,Boys,U - 17,Time Trial
89,50 mt. Breast Stroke,Girls,U - 17,Time Trial
90,50 mt. Breast Stroke,Boys,U - 19,Time Trial
91,50 mt. Breast Stroke,Girls,U - 19,Time Trial
