Event No,Event,Gender,Age Group,Mode
1,1500 mt. Free Style,Men,Senior,Time Trial
2,1500 mt. Free Style,Women,Senior,Time Trial
3,1500 mt. Free Style,Boys,I,Time Trial
4,1500 mt. Free Style,Girls,I,Time Trial
5,1500 mt. Free Style,Boys,II,Time Trial
6,1500 mt. Free Style,Girls,II,Time Trial
7,200 mt. Back Stroke,Boys,I,Time Trial
8,200 mt. Back Stroke,Girls,I,Time Trial
9,200 mt. Back Stroke,Boys,II,Time Trial
10,200 mt. Back Stroke,Girls,II,Time Trial
11,200 mt. Back Stroke,Boys,III ,Time Trial
12,200 mt. Back Stroke,Girls,III ,Time Trial
13,200 mt. Back Stroke,Men,Senior,Time Trial
14,200 mt. Back Stroke,Women,Senior,Time Trial
15,200 mt. I.M.,Boys,I,Time Trial
16,200 mt. I.M.,Girls,I,Time Trial
17,200 mt. I.M.,Boys,II,Time Trial
18,200 mt. I.M.,Girls,II,Time Trial
19,200 mt. I.M.,Boys,III,Time Trial
20,200 mt. I.M.,Girls,III,Time Trial
21,200 mt. I.M.,Boys,IV,Time Trial
22,200 mt. I.M.,Girls,IV,Time Trial
23,200 mt. I.M.,Men,Senior,Time Trial
24,200 mt. I.M.,Women,Senior,Time Trial
25,200 mt. Butterfly Stroke,Boys,I,Time Trial
26,200 mt. Butterfly Stroke,Girls,I,Time Trial
27,200 mt. Butterfly Stroke,Boys,II,Time Trial
28,200 mt. Butterfly Stroke,Girls,II,Time Trial
29,200 mt. Butterfly Stroke,Boys,III,Time Trial
30,200 mt. Butterfly Stroke,Girls,III,Time Trial
31,200 mt. Butterfly Stroke,Men,Senior,Time Trial
32,200 mt. Butterfly Stroke,Women,Senior,Time Trial
33,400 mt. Free Style,Boys,I,Time Trial
34,400 mt. Free Style,Girls,I,Time Trial
35,400 mt. Free Style,Boys,II,Time Trial
36,400 mt. Free Style,Girls,II,Time Trial
37,400 mt. Free Style,Boys,III,Time Trial
38,400 mt. Free Style,Girls,III,Time Trial
39,400 mt. Free Style,Men,Senior,Time Trial
40,400 mt. Free Style,Women,Senior,Time Trial
41,200 mt. Breast Stroke,Boys,I,Time Trial
42,200 mt. Breast Stroke,Girls,I,Time Trial
43,200 mt. Breast Stroke,Boys,II,Time Trial
44,200 mt. Breast Stroke,Girls,II,Time Trial
45,200 mt. Breast Stroke,Boys,III,Time Trial
46,200 mt. Breast Stroke,Girls,III,Time Trial
47,200 mt. Breast Stroke,Men,Senior,Time Trial
48,200 mt. Breast Stroke,Women,Senior,Time Trial
49,100 mt. Free Style,Boys,I,Time Trial
50,100 mt. Free Style,Girls,I,Time Trial
51,100 mt. Free Style,Boys,II,Time Trial
52,100 mt. Free Style,Girls,II,Time Trial
53,100 mt. Free Style,Boys,III,Time Trial
54,100 mt. Free Style,Girls,III,Time Trial
55,100 mt. Free Style,Boys,IV,Time Trial
56,100 mt. Free Style,Girls,IV,Time Trial
57,100 mt. Free Style,Men,Senior,Time Trial
58,100 mt. Free Style,Women,Senior,Time Trial
59,50 mt. Back Stroke,Girls,I,Time Trial
60,50 mt. Back Stroke,Boys,I,Time Trial
61,50 mt. Back Stroke,Boys,II,Time Trial
62,50 mt. Back Stroke,Girls,II,Time Trial
63,50 mt. Back Stroke,Boys,IV,Time Trial
64,50 mt. Back Stroke,Girls,IV,Time Trial
65,50 mt. Back Stroke,Women,Senior,Time Trial
66,50 mt. Back Stroke,Men,Senior,Time Trial
67,50 mt. Breast Stroke,Boys,I,Time Trial
68,50 mt. Breast Stroke,Girls,I,Time Trial
69,50 mt. Breast Stroke,Boys,II,Time Trial
70,50 mt. Breast Stroke,Girls,II,Time Trial
71,50 mt. Breast Stroke,Boys,IV,Time Trial
72,50 mt. Breast Stroke,Girls,IV,Time Trial
73,50 mt. Breast Stroke,Men,Senior,Time Trial
74,50 mt. Breast Stroke,Women,Senior,Time Trial
75,800 mt. Free Style,Men,Senior,Time Trial
76,800 mt. Free Style,Women,Senior,Time Trial
77,800 mt. Free Style,Boys,I,Time Trial
78,800 mt. Free Style,Girls,I,Time Trial
79,800 mt. Free Style,Boys,II,Time Trial
80,800 mt. Free Style,Girls,II,Time Trial
81,100 mt. Butterfly Stroke,Boys,I,Time Trial
82,100 mt. Butterfly Stroke,Girls,I,Time Trial
83,100 mt. Butterfly Stroke,Boys,II,Time Trial
84,100 mt. Butterfly Stroke,Girls,II,Time Trial
85,100 mt. Butterfly Stroke,Boys,III,Time Trial
86,100 mt. Butterfly Stroke,Girls,III,Time Trial
87,100 mt. Butterfly Stroke,Men,Senior,Time Trial
88,100 mt. Butterfly Stroke,Women,Senior,Time Trial
89,50 mt. Free Style,Girls,I,Time Trial
90,50 mt. Free Style,Boys,I,Time Trial
91,50 mt. Free Style,Girls,II,Time Trial
92,50 mt. Free Style,Boys,II,Time Trial
93,50 mt. Free Style,Boys,IV,Time Trial
94,50 mt. Free Style,Girls,IV,Time Trial
95,50 mt. Free Style,Women,Senior,Time Trial
96,50 mt. Free Style,Men,Senior,Time Trial
97,100 mt. Breast Stroke,Boys,I,Time Trial
98,100 mt. Breast Stroke,Girls,I,Time Trial
99,100 mt. Breast Stroke,Boys,II,Time Trial
100,100 mt. Breast Stroke,Girls,II,Time Trial
101,100 mt. Breast Stroke,Boys,III,Time Trial
102,100 mt. Breast Stroke,Girls,III,Time Trial
103,100 mt. Breast Stroke,Men,Senior,Time Trial
104,100 mt. Breast Stroke,Women,Senior,Time Trial
105,400 mt. I.M.,Boys,I,Time Trial
106,400 mt. I.M.,Girls,I,Time Trial
107,400 mt. I.M.,Boys,II,Time Trial
