Event No,Event,Gender,Age Group,Mode
1,50 mt. Butterfly Stroke,Girls,U - 9,Time Trial
2,50 mt. Butterfly Stroke,Boys,U - 9,Time Trial
3,50 mt. Butterfly Stroke,Girls,U - 11,Time Trial
4,50 mt. Butterfly Stroke,Boys,U - 11,Time Trial
5,50 mt. Butterfly Stroke,Girls,U - 15,Time Trial
6,50 mt. Butterfly Stroke,Boys,U - 15,Time Trial
7,50 mt. Back Stroke,Girls,U - 9,Time Trial
8,50 mt. Back Stroke,Boys,U - 9,Time Trial
9,50 mt. Back Stroke,Girls,U - 11,Time Trial
10,50 mt. Back Stroke,Boys,U - 11,Time Trial
11,50 mt. Back Stroke,Girls,U - 15,Time Trial
12,50 mt. Back Stroke,Boys,U - 15,Time Trial
13,50 mt. Breast Stroke,Girls,U - 9,Time Trial
14,50 mt. Breast Stroke,Boys,U - 9,Time Trial
15,50 mt. Breast Stroke,Girls,U - 11,Time Trial
16,50 mt. Breast Stroke,Boys,U - 11,Time Trial
17,50 mt. Breast Stroke,Girls,U - 15,Time Trial
18,50 mt. Breast Stroke,Boys,U - 15,Time Trial
19,50 mt. Free Style,Girls,U - 9,Time Trial
20,50 mt. Free Style,Boys,U - 9,Time Trial
21,50 mt. Free Style,Girls,U - 11,Time Trial
22,50 mt. Free Style,Boys,U - 11,Time Trial
23,50 mt. Free Style,Girls,U - 15,Time Trial
24,50 mt. Free Style,Boys,U - 15,Time Trial
