Event No,Event,Gender,Age Group,Mode
1,1500 mt. Free Style,Boys,U - 17,Time Trial
2,1500 mt. Free Style,Girls,U - 17,Time Trial
3,1500 mt. Free Style,Boys,U - 14,Time Trial
4,1500 mt. Free Style,Girls,U - 14,Time Trial
5,100 mt. Butterfly Stroke,Boys,U - 17,Time Trial
6,100 mt. Butterfly Stroke,Girls,U - 17,Time Trial
7,100 mt. Butterfly Stroke,Boys,U - 14,Time Trial
8,100 mt. Butterfly Stroke,Girls,U - 14,Time Trial
9,100 mt. Back Stroke,Boys,U - 14,Time Trial
10,100 mt. Back Stroke,Girls,U - 14,Time Trial
11,100 mt. Back Stroke,Boys,U - 17,Time Trial
12,100 mt. Back Stroke,Girls,U - 17,Time Trial
13,200 mt. Free Style,Boys,U - 14,Time Trial
14,200 mt. Free Style,Girls,U - 14,Time Trial
15,200 mt. Free Style,Boys,U - 17,Time Trial
16,200 mt. Free Style,Girls,U - 17,Time Trial
17,200 mt. Back Stroke,Boys,U - 17,Time Trial
18,200 mt. Back Stroke,Girls,U - 17,Time Trial
19,200 mt. Back Stroke,Boys,U - 14,Time Trial
20,200 mt. Back Stroke,Girls,U - 14,Time Trial
21,50 mt. Free Style,Boys,U - 14,Time Trial
22,50 mt. Free Style,Girls,U - 14,Time Trial
23,50 mt. Free Style,Boys,U - 17,Time Trial
24,50 mt. Free Style,Girls,U - 17,Time Trial
25,200 mt. Breast Stroke,Boys,U - 17,Time Trial
26,200 mt. Breast Stroke,Girls,U - 17,Time Trial
27,200 mt. Breast Stroke,Boys,U - 14,Time Trial
28,200 mt. Breast Stroke,Girls,U - 14,Time Trial
29,400 mt. Free Style,Boys,U - 14,Time Trial
30,400 mt. Free Style,Girls,U - 14,Time Trial
31,400 mt. Free Style,Boys,U - 17,Time Trial
32,400 mt. Free Style,Girls,U - 17,Time Trial
33,50 mt. Butterfly Stroke,Boys,U - 14,Time Trial
34,50 mt. Butterfly Stroke,Girls,U - 14,Time Trial
35,50 mt. Butterfly Stroke,Boys,U - 17,Time Trial
36,50 mt. Butterfly Stroke,Girls,U - 17,Time Trial
37,400 mt. I.M.,Boys,U - 17,Time Trial
38,400 mt. I.M.,Girls,U - 17,Time Trial
39,400 mt. I.M.,Boys,U - 14,Time Trial
40,400 mt. I.M.,Girls,U - 14,Time Trial
41,100 mt. Free Style,Boys,U - 14,Time Trial
42,100 mt. Free Style,Girls,U - 14,Time Trial
43,100 mt. Free Style,Boys,U - 17,Time Trial
44,100 mt. Free Style,Girls,U - 17,Time Trial
45,100 mt. Breast Stroke,Boys,U - 14,Time Trial
46,100 mt. Breast Stroke,Girls,U - 14,Time Trial
47,100 mt. Breast Stroke,Boys,U - 17,Time Trial
48,100 mt. Breast Stroke,Girls,U - 17,Time Trial
49,200 mt. Butterfly Stroke,Boys,U - 14,Time Trial
50,200 mt. Butterfly Stroke,Girls,U - 14,Time Trial
51,200 mt. Butterfly Stroke,Boys,U - 17,Time Trial
52,200 mt. Butterfly Stroke,Girls,U - 17,Time Trial
53,800 mt. Free Style,Boys,U - 17,Time Trial
54,800 mt. Free Style,Girls,U - 17,Time Trial
55,800 mt. Free Style,Boys,U - 14,Time Trial
56,800 mt. Free Style,Girls,U - 14,Time Trial
57,50 mt. Breast Stroke,Boys,U - 14,Time Trial
58,50 mt. Breast Stroke,Girls,U - 14,Time Trial
59,50 mt. Breast Stroke,Boys,U - 17,Time Trial
60,50 mt. Breast Stroke,Girls,U - 17,Time Trial
61,200 mt. I.M.,Boys,U - 14,Time Trial
62,200 mt. I.M.,Girls,U - 14,Time Trial
63,200 mt. I.M.,Boys,U - 17,Time Trial
64,200 mt. I.M.,Girls,U - 17,Time Trial
65,50 mt. Back Stroke,Boys,U - 14,Time Trial
66,50 mt. Back Stroke,Girls,U - 14,Time Trial
67,50 mt. Back Stroke,Boys,U - 17,Time Trial
68,50 mt. Back Stroke,Girls,U - 17,Time Trial
