Event No,Event,Gender,Age Group,Mode
1,200 mt. Free Style,Boys,U - 19,Time Trial
2,200 mt. Free Style,Girls,U - 19,Time Trial
3,200 mt. Free Style,Boys,U - 14,Time Trial
4,200 mt. Free Style,Girls,U - 14,Time Trial
5,200 mt. Back Stroke,Boys,U - 19,Time Trial
6,200 mt. Back Stroke,Girls,U - 19,Time Trial
7,200 mt. Back Stroke,Boys,U - 14,Time Trial
8,200 mt. Back Stroke,Girls,U - 14,Time Trial
9,100 mt. Breast Stroke,Boys,U - 19,Time Trial
10,100 mt. Breast Stroke,Girls,U - 19,Time Trial
11,100 mt. Breast Stroke,Boys,U - 14,Time Trial
12,100 mt. Breast Stroke,Girls,U - 14,Time Trial
13,100 mt. Butterfly Stroke,Boys,U - 19,Time Trial
14,100 mt. Butterfly Stroke,Girls,U - 19,Time Trial
15,100 mt. Butterfly Stroke,Boys,U - 14,Time Trial
16,100 mt. Butterfly Stroke,Girls,U - 14,Time Trial
17,50 mt. Back Stroke,Boys,U - 19,Time Trial
18,50 mt. Back Stroke,Girls,U - 19,Time Trial
19,50 mt. Back Stroke,Boys,U - 14,Time Trial
20,50 mt. Back Stroke,Girls,U - 14,Time Trial
21,50 mt. Free Style,Boys,U - 19,Time Trial
22,50 mt. Free Style,Girls,U - 19,Time Trial
23,50 mt. Free Style,Boys,U - 14,Time Trial
24,50 mt. Free Style,Girls,U - 14,Time Trial
25,200 mt. Breast Stroke,Boys,U - 19,Time Trial
26,200 mt. Breast Stroke,Girls,U - 19,Time Trial
27,200 mt. Breast Stroke,Boys,U - 14,Time Trial
28,200 mt. Breast Stroke,Girls,U - 14,Time Trial
29,200 mt. Butterfly Stroke,Boys,U - 19,Time Trial
30,200 mt. Butterfly Stroke,Girls,U - 19,Time Trial
31,200 mt. Butterfly Stroke,Boys,U - 14,Time Trial
32,200 mt. Butterfly Stroke,Girls,U - 14,Time Trial
33,100 mt. Free Style,Boys,U - 19,Time Trial
34,100 mt. Free Style,Girls,U - 19,Time Trial
35,100 mt. Free Style,Boys,U - 14,Time Trial
36,100 mt. Free Style,Girls,U - 14,Time Trial
37,100 mt. Back Stroke,Boys,U - 19,Time Trial
38,100 mt. Back Stroke,Girls,U - 19,Time Trial
39,100 mt. Back Stroke,Boys,U - 14,Time Trial
40,100 mt. Back Stroke,Girls,U - 14,Time Trial
41,50 mt. Breast Stroke,Boys,U - 19,Time Trial
42,50 mt. Breast Stroke,Girls,U - 19,Time Trial
43,50 mt. Breast Stroke,Boys,U - 14,Time Trial
44,50 mt. Breast Stroke,Girls,U - 14,Time Trial
45,50 mt. Butterfly Stroke,Boys,U - 19,Time Trial
46,50 mt. Butterfly Stroke,Girls,U - 19,Time Trial
47,50 mt. Butterfly Stroke,Boys,U - 14,Time Trial
48,50 mt. Butterfly Stroke,Girls,U - 14,Time Trial
49,4*100 mt. Free Style relay,Boys,U - 19,Time Trial
50,4*100 mt. Free Style relay,Girls,U - 19,Time Trial
51,4*100 mt. Free Style relay,Boys,U - 14,Time Trial
52,4*100 mt. Free Style relay,Girls,U - 14,Time Trial
