Event No,Event,Gender,Age Group,Mode
1,800 mt. Free Style,Boys,U - 17,Time Trial
2,800 mt. Free Style,Girls,U - 19,Time Trial
3,50 mt. Butter Fly Stroke,Boys,U - 17,Heats/final
4,50 mt. Butter Fly Stroke,Girls,U - 17,Heats/final
5,50 mt. Butter Fly Stroke,Boys,U - 19,Heats/final
6,50 mt. Butter Fly Stroke,Girls,U - 19,Heats/final
7,50 mt. Butter Fly Stroke,Boys,U - 14,Heats/final
8,50 mt. Butter Fly Stroke,Girls,U - 14,Heats/final
9,200 mt. Free Style,Boys,U - 14,Time Trial
10,200 mt. Free Style,Girls,U - 14,Time Trial
11,100 mt. Breast Stroke,Boys,U - 17,Time Trial
12,100 mt. Breast Stroke,Girls,U - 17,Time Trial
13,100 mt. Breast Stroke,Boys,U - 14,Time Trial
14,100 mt. Breast Stroke,Girls,U - 14,Time Trial
15,100 mt. Breast Stroke,Boys,U - 19,Time Trial
16,100 mt. Breast Stroke,Girls,U - 19,Time Trial
17,100 mt. Butter Fly Stroke,Boys,U - 14,Time Trial
18,100 mt. Butter Fly Stroke,Girls,U - 14,Time Trial
19,100 mt. Butter Fly Stroke,Boys,U - 17,Time Trial
20,100 mt. Butter Fly Stroke,Girls,U - 17,Time Trial
21,100 mt. Butter Fly Stroke,Boys,U - 19,Time Trial
22,100 mt. Butter Fly Stroke,Girls,U - 19,Time Trial
23,4X100 mt. Medley Relay,Boys,U - 14,Time Trial
24,4X100 mt. Medley Relay,Girls,U - 14,Time Trial
25,1500 mt. Free Style,Boys,U - 19,Time Trial
26,200 mt. Free Style,Boys,U - 17,Time Trial
27,200 mt. Free Style,Girls,U - 17,Time Trial
28,200 mt. Individual Medley,Boys,U - 14,Time Trial
29,200 mt. Individual Medley,Girls,U - 14,Time Trial
30,200 mt. Butter Fly Stroke,Boys,U - 19,Time Trial
31,200 mt. Butter Fly Stroke,Girls,U - 19,Time Trial
32,200 mt. Butter Fly Stroke,Boys,U - 17,Time Trial
33,200 mt. Butter Fly Stroke,Girls,U - 17,Time Trial
34,50 mt. Back Stroke,Boys,U - 14,Heats/final
35,50 mt. Back Stroke,Girls,U - 14,Heats/final
36,50 mt. Back Stroke,Boys,U - 17,Heats/final
37,50 mt. Back Stroke,Girls,U - 17,Heats/final
38,50 mt. Breast Stroke,Boys,U - 19,Heats/final
39,50 mt. Breast Stroke,Girls,U - 19,Heats/final
40,50 mt. Breast Stroke,Boys,U - 17,Heats/final
41,50 mt. Breast Stroke,Girls,U - 17,Heats/final
42,50 mt. Breast Stroke,Boys,U - 14,Heats/final
43,50 mt. Breast Stroke,Girls,U - 14,Heats/final
44,50 mt. Back Stroke,Boys,U - 19,Heats/final
45,50 mt. Back Stroke,Girls,U - 19,Heats/final
46,200 mt. Individual Medley,Boys,U - 17,Time Trial
47,200 mt. Individual Medley,Girls,U - 17,Time Trial
48,100 mt. Free Style,Boys,U - 14,Time Trial
49,100 mt. Free Style,Girls,U - 14,Time Trial
50,100 mt. Free Style,Boys,U - 19,Time Trial
51,100 mt. Free Style,Girls,U - 19,Time Trial
52,4x100 mt. Free Style Relay,Boys,U - 17,Time Trial
53,4x100 mt. Free Style Relay,Girls,U - 17,Time Trial
54,200 mt. Free Style,Boys,U - 19,Time Trial
55,200 mt. Free Style,Girls,U - 19,Time Trial
56,100 mt. Back Stroke,Boys,U - 14,Time Trial
57,100 mt. Back Stroke,Girls,U - 14,Time Trial
58,100 mt. Back Stroke,Boys,U - 17,Time Trial
59,100 mt. Back Stroke,Girls,U - 17,Time Trial
60,100 mt. Back Stroke,Boys,U - 19,Time Trial
61,100 mt. Back Stroke,Girls,U - 19,Time Trial
62,50 mt. Free Style,Boys,U - 14,Heats/final
63,50 mt. Free Style,Girls,U - 14,Heats/final
64,50 mt. Free Style,Boys,U - 17,Heats/final
65,50 mt. Free Style,Girls,U - 17,Heats/final
66,50 mt. Free Style,Boys,U - 19,Heats/final
67,50 mt. Free Style,Girls,U - 19,Heats/final
68,200 mt. Breast Stroke,Boys,U - 17,Time Trial
69,200 mt. Breast Stroke,Girls,U - 17,Time Trial
70,200 mt. Breast Stroke,Boys,U - 19,Time Trial
71,200 mt. Breast Stroke,Girls,U - 19,Time Trial
72,200 mt. Breast Stroke,Boys,U - 14,Time Trial
73,200 mt. Breast Stroke,Girls,U - 14,Time Trial
74,400 mt. Individual Medley,Boys,U - 17,Time Trial
75,400 mt. Individual Medley,Girls,U - 17,Time Trial
76,400 mt. Individual Medley,Boys,U - 19,Time Trial
77,400 mt. Individual Medley,Girls,U - 19,Time Trial
78,4x100 mt. Free Style Relay,Boys,U - 14,Time Trial
79,4x100 mt. Free Style Relay,Girls,U - 14,Time Trial
80,4x100 mt. Medlay Relay,Boys,U - 17,Time Trial
81,4x100 mt. Medlay Relay,Girls,U - 17,Time Trial
82,4x100 mt. Medlay Relay,Boys,U - 19,Time Trial
83,4x100 mt. Medlay Relay,Girls,U - 19,Time Trial
84,400 mt. Free Style,Boys,U - 14,Time Trial
85,400 mt. Free Style,Girls,U - 14,Time Trial
86,400 mt. Free Style,Boys,U - 17,Time Trial
87,400 mt. Free Style,Girls,U - 17,Time Trial
88,400 mt. Free Style,Boys,U - 19,Time Trial
89,400 mt. Free Style,Girls,U - 19,Time Trial
90,200 mt. Back Stroke,Boys,U - 14,Time Trial
91,200 mt. Back Stroke,Girls,U - 14,Time Trial
92,200 mt. Back Stroke,Boys,U - 17,Time Trial
93,200 mt. Back Stroke,Girls,U - 17,Time Trial
94,200 mt. Back Stroke,Boys,U - 19,Time Trial
95,200 mt.Back Stroke,Girls,U - 19,Time Trial
96,200 mt. Butter Fly Stroke,Boys,U - 14,Time Trial
97,200 mt. Butter Fly Stroke,Girls,U - 14,Time Trial
98,200 mt. Butter Fly Stroke,Boys,U - 14,Time Trial
99,200 mt. Butter Fly Stroke,Girls,U - 14,Time Trial
100,200 mt. Individual Medley,Boys,U - 19,Time Trial
101,200 mt. Individual Medley,Girls,U - 19,Time Trial
102,100 mt. Free Style,Boys,U - 17,Time Trial
103,100 mt. Free Style,Girls,U - 17,Time Trial
104,4x100 mt. Free Style Relay,Boys,U - 19,Time Trial
